,car,street,side,entry_pos,entry_time,num_cars_current_street,exit_time,num_cars_next_street,next_road,next_road_light
0,wde,uni way,left,1,2020-11-22 15:38:49.745086,0,2020-11-22 15:38:50.113088,,,
1,5wc,uni way,left,2,2020-11-22 15:38:50.097089,0,2020-11-22 15:38:50.113088,1.0,uni way,
2,ksk,uni way,right,1,2020-11-22 15:38:49.718085,0,2020-11-22 15:38:50.113088,5.0,moi av,
3,74q,uni way,right,2,2020-11-22 15:38:49.809084,0,2020-11-22 15:38:50.113088,,,
4,z4n,uni way,right,3,2020-11-22 15:38:49.905085,0,2020-11-22 15:38:50.113088,6.0,moi av,
5,7nu,uni way,right,4,2020-11-22 15:38:49.953101,0,2020-11-22 15:38:50.113088,7.0,moi av,
6,9y3,uni way,right,5,2020-11-22 15:38:49.985084,0,2020-11-22 15:38:50.113088,,,
7,j5g,moi av,left,1,2020-11-22 15:38:49.825092,0,2020-11-22 15:38:50.113088,2.0,ronald,
8,f2b,moi av,left,2,2020-11-22 15:38:49.969087,0,2020-11-22 15:38:50.113088,3.0,ronald,
9,cxc,moi av,right,1,2020-11-22 15:38:49.777150,1,2020-11-22 15:38:50.114088,,,
10,2ld,moi av,right,2,2020-11-22 15:38:49.857084,1,2020-11-22 15:38:50.114088,4.0,tom mb,
11,ete,moi av,right,3,2020-11-22 15:38:49.873084,1,2020-11-22 15:38:50.114088,,,
12,4tn,moi av,right,4,2020-11-22 15:38:49.937093,1,2020-11-22 15:38:50.114088,5.0,tom mb,
13,ksk,moi av,right,5,2020-11-22 15:38:50.113088,1,2020-11-22 15:38:50.114088,,,
14,z4n,moi av,right,6,2020-11-22 15:38:50.113088,1,2020-11-22 15:38:50.114088,,,
15,ufz,tom mb,left,1,2020-11-22 15:38:49.729086,0,2020-11-22 15:38:50.114088,,,
16,a8j,tom mb,left,2,2020-11-22 15:38:49.761086,0,2020-11-22 15:38:50.114088,,,
